src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.937603432199153097e+00 -5.074790859912458707e+00 -4.830996164711820029e+00 2.293507460021270816e+00 2.156565654899233664e+01
-4.692094540762053789e+00 -4.862789640001448532e+00 -4.708677077822989610e+00 2.579938820352967177e+00 2.181047256571612891e+01
-4.831692193588390971e+00 -4.872671818628056428e+00 -4.822880791219047225e+00 2.373841443421225605e+00 2.166044877640888089e+01
-4.896024278610601854e+00 -4.908557904877795863e+00 -4.711763561233579090e+00 2.379759690105121450e+00 2.168711738922333510e+01
-5.135677480060746092e+00 -5.113299577812002283e+00 -4.902264446804142750e+00 1.862171704306973652e+00 2.137129332268621695e+01
-4.968686543072070805e+00 -5.011525415085268165e+00 -4.886719176466721493e+00 2.273975045165872899e+00 2.144614878350241582e+01
-4.870247623358860523e+00 -4.966647975763787137e+00 -4.731922147485397190e+00 2.252144619686630378e+00 2.157599440529368451e+01
-5.153454421835913735e+00 -5.148031331583210246e+00 -5.031871152880016851e+00 1.798735159412959916e+00 2.135613048632033539e+01
-5.029546438807471098e+00 -5.085765594194073813e+00 -4.905415259057911648e+00 2.111548805261596939e+00 2.132498649794935375e+01
-4.755019175802742026e+00 -4.877042553360387167e+00 -4.720697752233075306e+00 2.660307339067090382e+00 2.177967628963743252e+01
-4.975772592049362508e+00 -4.987021956375070175e+00 -4.899948960980248458e+00 2.174752497338004353e+00 2.136101812867795147e+01
-5.192757838157108452e+00 -5.218104510109008665e+00 -5.065153984346682847e+00 1.756954449463713708e+00 2.087450813756491996e+01
-5.032044675385450638e+00 -5.110196324917926525e+00 -5.017570173644555709e+00 2.036372297166446188e+00 2.122751121850592781e+01
-4.920653042053466208e+00 -5.031454440903948111e+00 -4.873353835598596362e+00 2.183078803856698613e+00 2.166187188969391286e+01
-4.890581985907639151e+00 -4.922347805145514954e+00 -4.816280115633197134e+00 2.426878188261479607e+00 2.160283341454575634e+01
