src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.413594640150840576e+00 -4.806070451147768097e+00 1.698023940933881093e+00 1.977002331858854589e+01
-5.413661571146802132e+00 -4.766948408446415542e+00 1.693841159668671992e+00 2.097582594225238495e+01
-5.277040291388431115e+00 -4.715359631956999920e+00 1.921153182905421808e+00 2.116124864005593054e+01
-5.460539451473064965e+00 -4.797832824275621633e+00 1.675689069345724036e+00 2.022269593616534777e+01
-5.471988156091803113e+00 -4.813733549308560455e+00 1.645660455940950229e+00 1.914874466654855212e+01
-5.394225093496779699e+00 -4.802305683882171827e+00 1.711832406862188627e+00 1.983585109549242631e+01
-5.437779258853110420e+00 -4.846319716657125909e+00 1.518692307863731550e+00 1.926398662282331031e+01
-5.335198919290977670e+00 -4.744082889110853074e+00 1.836330256070159983e+00 2.028238624164577786e+01
-5.342328472936521244e+00 -4.748102003374549795e+00 1.763724687134279101e+00 2.092966937263973648e+01
-5.388497587385001175e+00 -4.760276193016977686e+00 1.752453113962647357e+00 1.994060315774862246e+01
-5.358140652333457155e+00 -4.794245377886403148e+00 1.709333995456533195e+00 2.057120912899819487e+01
-5.491571023386974559e+00 -4.779910023826142051e+00 1.746364890586206364e+00 1.941951868480418497e+01
-5.373834601581709336e+00 -4.811153815471197248e+00 1.599214111426791263e+00 2.015257053025953127e+01
-5.532503398340617551e+00 -4.841250106098941686e+00 1.529741419367023347e+00 1.937347368253126589e+01
-5.428604095863459378e+00 -4.809297236329507896e+00 1.666809151490251217e+00 2.020441025598765705e+01
-5.478149746564810130e+00 -4.826873359731534308e+00 1.680731375567269481e+00 2.019043108316585489e+01
-5.426584748718856765e+00 -4.801911249481261024e+00 1.651570198823677060e+00 2.008058306018165240e+01
-5.273069608521776530e+00 -4.716931048560539352e+00 1.856504619250269883e+00 2.100030519578177390e+01
-5.387143170426108796e+00 -4.735970577054629871e+00 1.736911086323589259e+00 2.020391601344717358e+01
-5.443623052278981689e+00 -4.820210104472573143e+00 1.614104721770541317e+00 2.036407791075310669e+01
-5.390478580732089853e+00 -4.764726878290717060e+00 1.738179027771652230e+00 2.111389195523956985e+01
-5.229801430343076873e+00 -4.680098726576625623e+00 2.008492388472221890e+00 2.117756444973154828e+01
-5.465733845155190451e+00 -4.792784484405665069e+00 1.582914485423163597e+00 1.932581596918694444e+01
-5.259198057046895691e+00 -4.717350703704934034e+00 1.849237063003438486e+00 2.101126976645099020e+01
-5.437779258853110420e+00 -4.846319716657125909e+00 1.518692307863731550e+00 1.926398662282331031e+01
-5.363389074866170780e+00 -4.801989090483195000e+00 1.706650257635847545e+00 2.021055043694193287e+01
-5.493811034577861463e+00 -4.835296108355752409e+00 1.578248107494943930e+00 1.925957451493008676e+01
-5.384380001055157017e+00 -4.801435337770944223e+00 1.730864072122364483e+00 1.910295868180007872e+01
-5.382147014843118527e+00 -4.815352010432818908e+00 1.661799819821959012e+00 1.990166955058062470e+01
-5.462823301162280210e+00 -4.831857630531850134e+00 1.548321468051730321e+00 1.937093499501804672e+01
-5.433528409135129245e+00 -4.827878903802568900e+00 1.562599682763144315e+00 1.925612224322112453e+01
-5.483908038235497884e+00 -4.853494654414300058e+00 1.660196380131008453e+00 1.945712422345604864e+01
