FGL,name,l,b,Class,CT,nH_LAB,var_inter,var_intra,nobs,ncounts,fb,pl,pl_l,pl_u,log10Z_pl,mk,mk_l,mk_u,log10Z_mk,nH,nH_l,nH_u,bb,bb_l,bb_u,log10Z_bb
J0859.3-4342,J085927.5-434528,265.1484612973235,1.4510661483332832,HM-STAR,0.7288682283783737,21.80511131278898,,0.52741096446314,1,406.3067171405,7.167739753008812e-14,2.7020224219322184,2.464981679950842,2.946425917321081,0.0,0.41066106377671846,0.3490409270688595,0.4827868633741114,-0.1384045512405149,22.35194929007002,22.287842555259697,22.408923884768477,-0.10727753232629088,-0.13203584681181724,-0.08342220444088971,-4.017033957709691
J0639.1-8009,J063554.8-800814,291.8380684003984,-27.358909568420685,AGN,31.02719315098249,21.041128718331297,,0.52233435119856,1,185.97353857829,7.032713957462657e-14,1.6866442306906055,1.343955347610815,2.02459745251518,-1.5939659723317552,1.0293063748997286,0.7732587216663667,1.2914448564926715,-0.593853428140076,20.1134111063562,19.393422915886237,21.01238683505836,-0.041602509958283296,-0.070855055349206,-0.0097716786708113,0.0
J0859.2-4729,J085902.0-473209,267.9533288191739,-1.0813964938145788,AGN,0.4126745339757272,21.866849490348777,,1.0,1,315.23846648759,6.978626212111966e-14,1.768429860980992,1.4445113611365459,2.0826241129355503,-0.7702411162384629,1.0709777261760192,0.8544827492343327,1.2993153706945604,0.0,22.721979197940545,22.674290201954996,22.767435483715623,0.12441830027043,0.0830271256643122,0.16649631057459002,-2.476321589178209
J0859.3-4342,J085926.8-434933,265.1984352034172,1.4048820564655038,AGN,2.174128997079064,21.80978831302247,,1.0,1,247.77010750137,6.912699319512407e-14,1.917401336511772,1.5861447431429532,2.2515789929183736,-0.7197321767269391,0.8018331085365817,0.6115317480143785,1.1126003681250562,0.0,22.560830292675977,22.48137304031638,22.63559878618525,0.0799042208015992,0.038531490537471846,0.1251225721783804,-1.8205373512936538
J1502.6+0207,J150237.4+015813,359.86332806791887,49.76133864041631,AGN,73.87914109960245,20.62781698858218,,0.19944445040547,1,68.845073437076,6.906456100309275e-14,1.6448036122795893,1.4033016321918204,1.9386186057116888,-0.5844178201243119,0.9623093001837619,0.6984444662070004,1.27604166933157,0.0,19.954119744067164,19.3122806796934,20.605689298728954,-0.213324214745966,-0.2533200083758316,-0.16776749939475605,-6.013514883539015
J1032.0+5725,J103202.9+573208,152.07656377193865,50.96683031394324,AGN,7.280492321021126,19.807170190289,,0.3575911368172599,1,231.85933421135,6.69291418092279e-14,1.588319271358725,1.4630697755999504,1.7166031507332065,-0.42302236368710583,0.9808635910243859,0.7950646365015248,1.2036574885423708,0.0,19.79567876363963,19.241773881323656,20.40031002544768,-0.16613409515481825,-0.19056766694361688,-0.14112662591660197,-15.725111153311387
J0859.2-4729,J085905.7-473009,267.93475435554933,-1.0516329318839628,NS,0.8557398753904019,21.866000889539812,,0.82817145142989,1,389.39745888234,6.554610858535514e-14,2.2042916125174767,1.9601249259334992,2.4542949184451297,-1.5564475414006909,0.5772312834199684,0.4875805798189559,0.6986254520363622,0.0,22.42596449898843,22.3657530695698,22.480968292847148,-0.014141958321187696,-0.04370966689028588,0.011258932520057828,-3.75213189834827
J1804.9-3001,J180445.6-300418,1.117443860655745,-4.1695923513741935,CV,1.0957522068128949,21.44180467519579,0.917,0.974091911877576,2,279.991588532108,6.554443050860075e-14,0.81749878417678,0.6120674843991565,1.0209259019506127,0.0,1.284647917514266,1.0868774839227222,1.423303916898126,-0.4774917904314818,21.78062465957519,21.584801248989034,21.934409286016297,0.15387737097761223,0.12243397962058376,0.18768230023044863,-0.6240338052905408
J0859.3-4342,J085930.9-434647,265.1716859297104,1.4442875696533566,YSO,6.945804137492688,21.80630762658946,,0.9999991295393372,1,407.59814760223,6.493900091662555e-14,2.6675296548390346,2.4585244155739323,2.9011663265652214,-0.1995354614924899,0.4126645881001003,0.3442598088877571,0.4869738695500707,-0.9624538202130937,21.67700972387856,21.512472915775348,21.79283933878696,-0.13195132507977725,-0.154635726671982,-0.10867799416947088,0.0
J0859.3-4342,J085935.8-434457,265.158256460457,1.4757710962241024,YSO,2.3167310357355886,21.803783813831604,,0.9982563504900038,1,344.01489112451,6.227808825081243e-14,2.9323552228181646,2.6484542435944194,3.2243477407733145,-0.4824572587867368,0.3645822600419619,0.3060600247801728,0.4381336349283386,-0.17671956974475345,22.093538059496648,21.990036543881462,22.175213427497884,-0.12252670743761396,-0.1482724899259051,-0.09617465925236779,0.0
J2236.9+1839,J223708.5+183939,83.83199785614113,-33.82306143438771,AGN,1.0891206549534649,20.642984537023114,,0.73128798928264,1,64.004005544551,6.116137488099084e-14,1.3115307652789063,0.8894948364673323,1.9160394252709927,-0.4134807782617294,1.103511481908745,0.7279923576354936,1.3674267108641067,0.0,21.65998356707856,21.1548363260299,21.929718785387426,-0.05070353684954654,-0.10554050736139776,0.009445312927371939,-0.4721701924004898
J0639.1-8009,J064126.4-801048,291.8947769443152,-27.124339700087518,AGN,0.1650643286881459,21.05201942727118,,0.9919705006259396,1,172.6435355773,5.988120283201646e-14,1.8823806675705084,1.7010466697460993,2.080438386806556,-0.6371664029410167,0.6822893794624014,0.5748802765716736,0.8346145058081542,0.0,19.90631536281896,19.299098761631765,20.64234648830689,-0.23789105642773187,-0.2754173141658809,-0.20238601717389212,-7.702546005574935
J1046.7-6010,J104642.3-600904,287.99599481584795,-0.9473598607225809,LM-STAR,3.5279630093873413,22.108493953343455,,0.88234799276635,2,811.7213453637801,5.72916478404929e-14,2.4154943399890474,2.2479489081019484,2.5852711185070887,-1.1220514024462078,0.48211658764076537,0.42357537251541966,0.5425263366968092,0.0,21.490306488883313,21.38947557181511,21.579504884693712,-0.22977100715332496,-0.2455530069366549,-0.21153125549216603,-8.975203306721811
J1025.9+1244,J102557.9+124109,228.64594334183016,53.06163165550798,NS,1.245736600224065,20.52324694776085,,0.41818014082468,1,71.805989802765,5.521556028556384e-14,2.570975096186534,2.2298144405425377,3.0442643549243806,0.0,0.46489344199994254,0.3822747059608576,0.5535723804996986,-0.5239052359687212,21.355373773954376,20.724749582614766,21.61984518952948,-0.38697806300673193,-0.43616116442628167,-0.34238815985758464,-2.954470060057156
J1725.1-3408,J172516.8-341211,353.2289849799662,0.7974901531944472,LMXB,0.3261808494738948,22.074289706060746,,0.9999999980448084,1,144.35962385075,5.36453335721012e-14,2.137903637897625,1.8211990890227376,2.4943525409415184,-0.21619664163321226,0.7161680368195693,0.5139290678941097,1.0137263045485108,0.0,22.00728380056101,21.853999660999907,22.135412072999447,-0.05525490383631659,-0.09575670533413347,-0.018449488266969016,-1.1436874656610856
J1804.9-3001,J180510.9-300900,1.0932005251887273,-4.287184168879257,LMXB,0.6879163990458531,21.434446821830143,,0.915241761798107,1,119.66938647516,5.332398437028672e-14,1.2423845039678323,0.8903475815480942,1.8060644484131825,-0.37041109156005303,1.1268158031984288,0.7764644776103433,1.3764557200576604,0.0,21.76303372112529,21.29937808659995,21.999694933317947,-0.014513696805412923,-0.06948666331480452,0.043474553197422765,-1.121779602674259
J2059.1+4403,J205743.9+435858,85.11509905152803,-1.0685110858429747,NS,1.4999197934713595,21.893720063007436,,0.86500262164176,1,62.26643498498,5.2172151872704284e-14,2.276892874139592,1.129168422959903,3.5842472522030575,-0.21109892984465925,0.9424884187063601,0.5105019569040624,1.3169513759612588,0.0,22.943617081073004,22.81472891723263,23.09506270503911,0.1457619907930594,0.012782929921606456,0.33614164841911937,-0.2870695183892767
J0859.2-4729,J085909.6-473025,267.9453052428343,-1.046399823006205,YSO,1.0558122755426205,21.866688178807777,,0.9999999899255952,1,291.71008073983,5.146918393521674e-14,2.519010953631928,2.2046713845207258,2.8702538608228614,-0.3310306859046148,0.5173886087773669,0.4193022617205686,0.651521379412876,0.0,22.690033918074327,22.62125644738211,22.746103462982845,-0.0034915306561407178,-0.038635907439785726,0.03173664297290113,-1.0669468896540986
J0859.3-4342,J085919.1-434318,265.10442123062114,1.4557235091182514,YSO,3.0431227166095587,21.80338723395807,,0.59468284804775,1,323.38378831541,5.1435562219034454e-14,2.6272179844926566,2.395346241571583,2.8854102929999224,0.0,0.47230478328407854,0.39040689871469375,0.5618915694685251,-1.0402089102962615,22.24360265979807,22.171805437485062,22.31496584105082,-0.11701216585441589,-0.1408521937274667,-0.08910259768415772,-4.253963790665127
J1435.4+3338,J143513.2+333118,55.242189186337214,66.7797674529061,AGN,8.646923789163852,19.96417707475067,1.0,0.57650630327803,1,108.89986460595,5.1411529056453254e-14,2.6108382966334758,2.161953690933155,3.1029941368376788,-0.44736315717128394,0.5603020537808177,0.4458640779263082,0.7024763421870346,-0.15206454547972012,19.95021395551551,19.26399877662869,20.704940743030566,-0.2879010869948111,-0.32257640386844066,-0.2539202135070586,0.0
J0859.2-4729,J085906.9-473102,267.94808390484224,-1.0588667823433366,NS,0.6271025383828082,21.866730331202998,,0.9993485208860176,1,205.43873517639,5.099646989038178e-14,1.9094696938851945,1.4427327443786044,2.412091181157872,-1.7185026459310135,0.7865046584382421,0.5985934246769273,0.995157175362675,0.0,22.906822304525075,22.84027000038692,22.97855166556512,0.14290391253475132,0.08840688278490062,0.21130817412274827,-2.8946882745346896
J0639.1-8009,J063719.7-801230,291.9196165759433,-27.3002650134325,AGN,10.42811715694942,21.04502378948568,,0.962033156405288,1,115.03594975388,5.0174162895496e-14,2.0711622510384986,1.5777874908948997,2.549672647980344,-0.32194103448844913,0.8781366082705895,0.5973539305153635,1.240952813194688,0.0,22.44335979892661,22.338120695861576,22.54048374193336,0.04683645789575274,-0.01756664178441758,0.11925610255193586,-1.1650277513648417
