14:54:13 [ultranest] [DEBUG] iteration=313, ncalls=716, regioncalls=12640, ndraw=40, logz=-4108.14, remainder_fraction=100.0000%, Lmin=-4106.49, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=319, ncalls=730, regioncalls=13200, ndraw=40, logz=-4108.10, remainder_fraction=100.0000%, Lmin=-4106.48, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=320, ncalls=732, regioncalls=13280, ndraw=40, logz=-4108.09, remainder_fraction=100.0000%, Lmin=-4106.47, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=330, ncalls=746, regioncalls=13840, ndraw=40, logz=-4108.03, remainder_fraction=100.0000%, Lmin=-4106.37, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=339, ncalls=760, regioncalls=14400, ndraw=40, logz=-4107.97, remainder_fraction=100.0000%, Lmin=-4106.26, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=348, ncalls=773, regioncalls=14920, ndraw=40, logz=-4107.91, remainder_fraction=100.0000%, Lmin=-4106.00, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=356, ncalls=787, regioncalls=15480, ndraw=40, logz=-4107.84, remainder_fraction=100.0000%, Lmin=-4105.80, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=360, ncalls=795, regioncalls=15800, ndraw=40, logz=-4107.81, remainder_fraction=100.0000%, Lmin=-4105.69, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=367, ncalls=809, regioncalls=16360, ndraw=40, logz=-4107.73, remainder_fraction=100.0000%, Lmin=-4105.16, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=375, ncalls=824, regioncalls=16960, ndraw=40, logz=-4107.60, remainder_fraction=100.0000%, Lmin=-4104.79, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=381, ncalls=839, regioncalls=17560, ndraw=40, logz=-4107.49, remainder_fraction=100.0000%, Lmin=-4104.50, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=389, ncalls=859, regioncalls=18360, ndraw=40, logz=-4107.28, remainder_fraction=100.0000%, Lmin=-4103.88, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=395, ncalls=873, regioncalls=18920, ndraw=40, logz=-4107.06, remainder_fraction=100.0000%, Lmin=-4103.18, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=400, ncalls=882, regioncalls=19280, ndraw=40, logz=-4106.73, remainder_fraction=100.0000%, Lmin=-4101.93, Lmax=-370.28
14:54:14 [ultranest] [DEBUG] iteration=406, ncalls=900, regioncalls=20000, ndraw=40, logz=-4105.77, remainder_fraction=100.0000%, Lmin=-4100.30, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=413, ncalls=916, regioncalls=20640, ndraw=40, logz=-4104.46, remainder_fraction=100.0000%, Lmin=-4099.20, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=421, ncalls=928, regioncalls=21120, ndraw=40, logz=-4102.86, remainder_fraction=100.0000%, Lmin=-4096.67, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=430, ncalls=943, regioncalls=21720, ndraw=40, logz=-4099.89, remainder_fraction=100.0000%, Lmin=-4093.53, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=433, ncalls=962, regioncalls=22480, ndraw=40, logz=-4098.67, remainder_fraction=100.0000%, Lmin=-4092.83, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=438, ncalls=976, regioncalls=23040, ndraw=40, logz=-4097.45, remainder_fraction=100.0000%, Lmin=-4091.84, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=440, ncalls=981, regioncalls=23240, ndraw=40, logz=-4097.04, remainder_fraction=100.0000%, Lmin=-4091.51, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=445, ncalls=996, regioncalls=23840, ndraw=40, logz=-4096.03, remainder_fraction=100.0000%, Lmin=-4090.74, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=450, ncalls=1011, regioncalls=24440, ndraw=40, logz=-4094.89, remainder_fraction=100.0000%, Lmin=-4089.25, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=458, ncalls=1026, regioncalls=25040, ndraw=40, logz=-4092.91, remainder_fraction=100.0000%, Lmin=-4086.48, Lmax=-370.28
14:54:15 [ultranest] [DEBUG] iteration=464, ncalls=1041, regioncalls=25640, ndraw=40, logz=-4090.20, remainder_fraction=100.0000%, Lmin=-4083.80, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=469, ncalls=1054, regioncalls=26160, ndraw=40, logz=-4088.40, remainder_fraction=100.0000%, Lmin=-4082.25, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=477, ncalls=1068, regioncalls=26720, ndraw=40, logz=-4085.90, remainder_fraction=100.0000%, Lmin=-4079.26, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=480, ncalls=1075, regioncalls=27000, ndraw=40, logz=-4084.70, remainder_fraction=100.0000%, Lmin=-4077.20, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=487, ncalls=1090, regioncalls=27600, ndraw=40, logz=-4080.08, remainder_fraction=100.0000%, Lmin=-4073.21, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=491, ncalls=1097, regioncalls=27880, ndraw=40, logz=-4077.85, remainder_fraction=100.0000%, Lmin=-4070.91, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=496, ncalls=1110, regioncalls=28400, ndraw=40, logz=-4075.57, remainder_fraction=100.0000%, Lmin=-4065.53, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=504, ncalls=1124, regioncalls=28960, ndraw=40, logz=-4068.53, remainder_fraction=100.0000%, Lmin=-4061.96, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=510, ncalls=1140, regioncalls=29600, ndraw=40, logz=-4062.65, remainder_fraction=100.0000%, Lmin=-4056.04, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=516, ncalls=1155, regioncalls=30200, ndraw=40, logz=-4058.62, remainder_fraction=100.0000%, Lmin=-4051.82, Lmax=-370.28
14:54:16 [ultranest] [DEBUG] iteration=520, ncalls=1167, regioncalls=30680, ndraw=40, logz=-4056.14, remainder_fraction=100.0000%, Lmin=-4048.19, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=527, ncalls=1184, regioncalls=31360, ndraw=40, logz=-4050.27, remainder_fraction=100.0000%, Lmin=-4043.55, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=532, ncalls=1202, regioncalls=32080, ndraw=40, logz=-4045.70, remainder_fraction=100.0000%, Lmin=-4035.25, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=538, ncalls=1221, regioncalls=32840, ndraw=40, logz=-4034.97, remainder_fraction=100.0000%, Lmin=-4026.32, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=544, ncalls=1236, regioncalls=33440, ndraw=40, logz=-4024.36, remainder_fraction=100.0000%, Lmin=-4016.99, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=550, ncalls=1250, regioncalls=34000, ndraw=40, logz=-4017.90, remainder_fraction=100.0000%, Lmin=-4011.07, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=557, ncalls=1267, regioncalls=34680, ndraw=40, logz=-4006.84, remainder_fraction=100.0000%, Lmin=-3999.12, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=560, ncalls=1274, regioncalls=34960, ndraw=40, logz=-4003.81, remainder_fraction=100.0000%, Lmin=-3993.74, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=567, ncalls=1288, regioncalls=35520, ndraw=40, logz=-3989.29, remainder_fraction=100.0000%, Lmin=-3977.43, Lmax=-370.28
14:54:17 [ultranest] [DEBUG] iteration=575, ncalls=1301, regioncalls=36040, ndraw=40, logz=-3971.26, remainder_fraction=100.0000%, Lmin=-3963.04, Lmax=-370.28
14:54:18 [ultranest] [DEBUG] iteration=580, ncalls=1315, regioncalls=36600, ndraw=40, logz=-3958.69, remainder_fraction=100.0000%, Lmin=-3951.11, Lmax=-370.28
14:54:18 [ultranest] [DEBUG] iteration=587, ncalls=1329, regioncalls=37160, ndraw=40, logz=-3940.21, remainder_fraction=100.0000%, Lmin=-3930.61, Lmax=-370.28
14:54:18 [ultranest] [DEBUG] iteration=593, ncalls=1343, regioncalls=37720, ndraw=40, logz=-3920.43, remainder_fraction=100.0000%, Lmin=-3910.84, Lmax=-370.28
14:54:18 [ultranest] [DEBUG] iteration=596, ncalls=1358, regioncalls=38320, ndraw=40, logz=-3913.25, remainder_fraction=100.0000%, Lmin=-3904.78, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=600, ncalls=1369, regioncalls=38760, ndraw=40, logz=-3908.52, remainder_fraction=100.0000%, Lmin=-3899.17, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=606, ncalls=1384, regioncalls=39360, ndraw=40, logz=-3892.41, remainder_fraction=100.0000%, Lmin=-3884.51, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=611, ncalls=1398, regioncalls=39920, ndraw=40, logz=-3883.68, remainder_fraction=100.0000%, Lmin=-3874.26, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=615, ncalls=1414, regioncalls=40560, ndraw=40, logz=-3869.58, remainder_fraction=100.0000%, Lmin=-3857.61, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=622, ncalls=1428, regioncalls=41120, ndraw=40, logz=-3843.90, remainder_fraction=100.0000%, Lmin=-3831.86, Lmax=-335.91
14:54:18 [ultranest] [DEBUG] iteration=629, ncalls=1446, regioncalls=41840, ndraw=40, logz=-3832.17, remainder_fraction=100.0000%, Lmin=-3823.44, Lmax=-335.91
14:54:19 [ultranest] [DEBUG] iteration=635, ncalls=1462, regioncalls=42480, ndraw=40, logz=-3821.74, remainder_fraction=100.0000%, Lmin=-3809.70, Lmax=-335.91
14:54:19 [ultranest] [DEBUG] iteration=640, ncalls=1476, regioncalls=43040, ndraw=40, logz=-3783.89, remainder_fraction=100.0000%, Lmin=-3769.05, Lmax=-335.91
14:54:19 [ultranest] [DEBUG] iteration=643, ncalls=1486, regioncalls=43440, ndraw=40, logz=-3775.24, remainder_fraction=100.0000%, Lmin=-3764.03, Lmax=-335.91
14:54:19 [ultranest] [DEBUG] iteration=645, ncalls=1489, regioncalls=43560, ndraw=40, logz=-3766.50, remainder_fraction=100.0000%, Lmin=-3757.64, Lmax=-335.91
14:54:19 [ultranest] [DEBUG] iteration=646, ncalls=1492, regioncalls=43680, ndraw=40, logz=-3765.01, remainder_fraction=100.0000%, Lmin=-3756.53, Lmax=-335.91
14:54:20 [ultranest] [DEBUG] iteration=648, ncalls=1496, regioncalls=43840, ndraw=40, logz=-3763.22, remainder_fraction=100.0000%, Lmin=-3755.20, Lmax=-335.91
