src1.lognorm pl1.PhoIndex src1.lognH
-5.130892754573046943e+00 1.848137531993059746e+00 2.167282149013407988e+01
-5.371139122833435309e+00 1.312513537866727198e+00 2.023283692092011421e+01
-5.166531284512783984e+00 1.680786527254178431e+00 2.144603207859739413e+01
-5.285254464769668203e+00 1.615562803641789280e+00 2.065018432777100088e+01
-5.183560506224653253e+00 1.659043816614174105e+00 2.127594734496992857e+01
-5.496980672208693797e+00 1.295737705734881118e+00 1.970379482952052541e+01
-5.295007361818455216e+00 1.448914991356694770e+00 1.989001182430049397e+01
-5.291919717393362532e+00 1.295645190309848260e+00 1.944661937647632044e+01
-5.378628009444810232e+00 1.589144853458889450e+00 2.006360242988682785e+01
-5.255093742410151592e+00 1.728904465277724789e+00 1.987955146636291204e+01
-5.265526747294956067e+00 1.594970674965805912e+00 1.924377233981034863e+01
-5.146116623696212145e+00 1.655711213594885933e+00 2.137057565576508722e+01
-5.052635512825651709e+00 1.913615382213261995e+00 2.158863182945981762e+01
-5.193806077107769426e+00 1.736838421960333001e+00 2.102184736421789069e+01
-5.122349350459726836e+00 1.958475243754667083e+00 2.146995877199936587e+01
-5.279115649119644260e+00 1.368792930734842983e+00 1.942055355120277937e+01
-5.189275975401008267e+00 1.586089858022091903e+00 2.145410290507009421e+01
-5.244978962503747510e+00 1.427462534783026982e+00 2.102369481488641867e+01
-5.022797068599892611e+00 2.281175344993108034e+00 2.143624014658154309e+01
-5.063652388152354078e+00 2.029992942133657330e+00 2.156447387253583514e+01
-5.241673084237207902e+00 1.677330245210217008e+00 2.085452679194738224e+01
-5.258644506310649724e+00 1.612265963106294109e+00 2.047562934162865389e+01
-5.253937836796309213e+00 1.315800430052300740e+00 1.961012476955441386e+01
-5.201349480028437000e+00 1.854691399247800021e+00 1.933065962668948501e+01
-5.416436831190994283e+00 1.077898748558864028e+00 1.991064283969435067e+01
-5.287712302491568650e+00 1.644011843120782856e+00 2.091236135702298427e+01
-5.062775833560746896e+00 1.999232568405322041e+00 2.150759234236836193e+01
-5.305889378239621479e+00 1.441598944892088952e+00 1.907616327874477591e+01
-5.278726656928954597e+00 1.513261143687837595e+00 2.072969981724315502e+01
-5.281329148644971383e+00 1.460015141405776262e+00 2.038770010736329752e+01
-4.846728172212412034e+00 2.314342180730387888e+00 2.170842168693113194e+01
-5.339669909946850979e+00 1.502540364192362254e+00 1.990057276673189435e+01
-5.183542002865474174e+00 1.799360037919493394e+00 2.124954437994204781e+01
-5.261106614592990560e+00 1.443270006552602069e+00 2.092333203545509690e+01
-5.264735339631457123e+00 1.376906836615789942e+00 2.076841580935716536e+01
-5.203607599284323371e+00 1.441561198699243818e+00 2.102332643118543842e+01
-5.126652228279149348e+00 1.917412387437463117e+00 2.133449563299250329e+01
-5.248672729294066031e+00 1.555246198220151754e+00 2.109820400839476662e+01
-5.232560192212020844e+00 1.634854865546337521e+00 2.072404217580141150e+01
-5.367441729727335797e+00 1.315476800043054340e+00 1.993785954936802796e+01
-5.339706421483611187e+00 1.496745303323730347e+00 1.978978372771315364e+01
-5.231254879973572081e+00 1.506478856507438735e+00 2.101393038623362486e+01
-5.372508524317888501e+00 1.331476148743414356e+00 1.908427751806160799e+01
-4.848390282065829560e+00 2.912274081377739243e+00 2.181065484504815188e+01
-5.273593089321956029e+00 1.537081359910486889e+00 1.937006618912795020e+01
